"","id","title","date","loc","loc_clean","loc_geo","lat","lon"
"84","116","Kim Jong Un Goes Round Machinery and Equipment Exhibition ","  2016-05-13","Kim Jong Un Goes Round Machinery and Equipment Exhibition","Machinery and Equipment Exhibition","?",NA,NA
"85","127","Kim Jong Un Guides Underwater Test-fire of Strategic Submarine Ballistic Missile ","  2016-04-25","Kim Jong Un Guides Underwater Test-fire of Strategic Submarine Ballistic Missile","Missile Test Site","?",NA,NA
"86","128","Kim Jong Un Provides Field Guidance to Paektusan Hero Youth Power Station No. 3","  2016-04-23","Paektusan Hero Youth Power Station No. 3","Paektusan Hero Youth Power Station No. 3","?",NA,NA
"87","129","Kim Jong Un Gives Field Guidance to Newly Built Mindulle Notebook Factory ","  2016-04-19"," Mindulle Notebook Factory","Mindulle Notebook Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"88","130","Kim Jong Un Visits Kumsusan Palace of Sun ","  2016-04-15","Kumsusan Palace of Sun","Kumsusan Palace of Sun","Pyongyang, North Korea","39.0392193","125.7625241"
"89","132","Kim Jong Un Guides Ground Jet Test of New-type High-Power Engine of Inter-continental Ballistic Rocket ","  2016-04-09","Kim Jong Un Guides Ground Jet Test of New-type High-Power Engine of Inter-continental Ballistic Rocket","Missile Test Site","?",NA,NA
"90","133","Kim Jong Un Gives Field Guidance to Machine Plant ","  2016-04-08","Machine Plant","Machine Plant","?",NA,NA
"91","134","Kim Jong Un Visits Tonghungsan Machine Plant under Ryongsong Machine Complex ","  2016-04-02","Tonghungsan Machine Plant under Ryongsong Machine Complex","Ryongsong Machine Complex","Hamhung, South Hamgyong, North Korea","39.9838002","127.6124553"
"92","135","Kim Jong Un Guides Test of New-type AA Guided Weapon System ","  2016-04-02","Kim Jong Un Guides Test of New-type AA Guided Weapon System","Army Base","?",NA,NA
"93","136","Kim Jong Un Visits Sinhung Machine Plant ","  2016-04-01","Sinhung Machine Plant","Sinhung Machine Plant","Sinhung, South Hamgyong, North Korea","40.1956688","127.550784"
"94","137","Kim Jong Un Visits Mirae Shop and Health Complex ","  2016-03-28","Mirae Shop and Health Complex","Mirae Shop and Health Complex","Pyongyang, North Korea","39.0392193","125.7625241"
"95","138","Kim Jong Un Guides Large-scale Intensive Striking Drill of Long-range Artillery Pieces ","  2016-03-25","Kim Jong Un Guides Large-scale Intensive Striking Drill of Long-range Artillery Pieces","Army Base","?",NA,NA
"96","139","Kim Jong Un Gives Field Guidance to February 11 Plant under Ryongsong Machine Complex ","  2016-03-24","February 11 Plant under Ryongsong Machine Complex","Ryongsong Machine Complex","Hamhung, South Hamgyong, North Korea","39.9838002","127.6124553"
